period,STATEFIP,Foreign-born,US-born,uninsured_rate_pct_gap_foreign_minus_us
2008-2013,1,43.91793684481317,13.188488993233976,30.729447851579195
2008-2013,2,27.84742029822724,18.813324705329613,9.034095592897629
2008-2013,4,40.2849146529877,14.299743667864561,25.98517098512314
2008-2013,5,44.94558911407127,15.805076960212705,29.140512153858563
2008-2013,6,31.563188524793507,12.926347969505041,18.636840555288465
2008-2013,8,38.71292556434204,12.709244414678237,26.003681149663798
2008-2013,9,24.12675617265572,6.459184884370428,17.667571288285295
2008-2013,10,26.423550343857073,8.481490722655149,17.942059621201924
2008-2013,11,13.879657683095129,5.753553366410201,8.126104316684927
2008-2013,12,37.910664347477834,16.691116339505587,21.219548007972246
2008-2013,13,46.976427296502244,16.627160693466454,30.34926660303579
2008-2013,15,10.026377258688804,6.180720921017908,3.8456563376708957
2008-2013,16,41.53214102706519,15.277221553615172,26.254919473450016
2008-2013,17,31.84585516661108,10.13401619497732,21.71183897163376
2008-2013,18,33.427207653571806,13.596039979996519,19.831167673575287
2008-2013,19,27.510889919950536,7.962686325830701,19.548203594119833
2008-2013,20,39.1868486558916,11.053743533703875,28.13310512218773
2008-2013,21,34.17425999995131,14.002017416663756,20.172242583287556
2008-2013,22,44.73995339231999,16.84099893884815,27.89895445347184
2008-2013,23,10.883385018678492,10.559266106696816,0.3241189119816763
2008-2013,24,28.349639490021872,8.081413374806273,20.268226115215597
2008-2013,25,9.331167869931118,3.1848998842733107,6.146267985657808
2008-2013,26,21.89245222692226,11.278286175867033,10.614166051055227
2008-2013,27,22.58408329508598,7.563229931850514,15.020853363235464
2008-2013,28,48.574289451261535,17.28234916936325,31.291940281898285
2008-2013,29,30.12255978517149,12.837975215652534,17.284584569518955
2008-2013,30,23.25070110445591,17.828242173337348,5.4224589311185625
2008-2013,31,35.96061324813504,9.56669625253005,26.39391699560499
2008-2013,32,38.05700085071547,17.981714819703566,20.075286031011903
2008-2013,33,18.110536487304003,10.249180482831495,7.861356004472508
2008-2013,34,29.366266938665042,8.42839021414427,20.93787672452077
2008-2013,35,48.638618734496205,16.96672238217284,31.671896352323365
2008-2013,36,23.306046546464295,8.010991930669567,15.295054615794728
2008-2013,37,47.863819635785084,13.59156297049462,34.27225666529046
2008-2013,38,17.216056808040044,9.859213294731266,7.356843513308778
2008-2013,39,23.234272983098776,11.477977408648782,11.756295574449995
2008-2013,40,47.758190131931535,17.105936757263883,30.65225337466765
2008-2013,41,34.887363011013164,14.023514784125283,20.86384822688788
2008-2013,42,22.792488783884266,9.163048907756945,13.629439876127321
2008-2013,44,26.6131244977373,8.95884179243247,17.65428270530483
2008-2013,45,45.35922583572786,15.425867627882772,29.93335820784509
2008-2013,46,21.399536127880005,11.657873062724457,9.741663065155548
2008-2013,47,44.39402767059536,12.926824919322632,31.467202751272723
2008-2013,48,49.66452606047095,18.251953005108724,31.412573055362223
2008-2013,49,41.83090574591139,12.157340198484896,29.67356554742649
2008-2013,50,9.608971014588464,7.454225116778536,2.154745897809928
2008-2013,51,28.978585986943926,10.130610171811078,18.84797581513285
2008-2013,53,28.31129673340147,11.517063308174539,16.79423342522693
2008-2013,54,22.28429631965342,14.572073579534445,7.7122227401189765
2008-2013,55,28.62611155509888,8.396533894058788,20.229577661040093
2008-2013,56,35.838050426316805,14.011250210271347,21.826800216045456
2014-2019,1,33.52592056969802,9.79015398063045,23.735766589067573
2014-2019,2,16.269790002818755,13.843295706383035,2.4264942964357203
2014-2019,4,25.471698783008268,9.46773814745756,16.00396063555071
2014-2019,5,32.80168842769799,8.38333985560313,24.418348572094857
2014-2019,6,15.81912734076437,5.906121578438577,9.913005762325792
2014-2019,8,25.700239549176306,6.511610036317828,19.188629512858476
2014-2019,9,18.13275374274169,3.58619704475854,14.546556697983151
2014-2019,10,17.786519732997583,5.342103812989694,12.444415920007888
2014-2019,11,9.752210642108677,3.0782295241066167,6.673981118002061
2014-2019,12,24.010576301294087,11.260208314955939,12.750367986338148
2014-2019,13,33.03991041444816,12.29821987076527,20.74169054368289
2014-2019,15,6.845359908046819,3.41693294106351,3.4284269669833094
2014-2019,16,32.213744091135474,10.167922191526374,22.045821899609102
2014-2019,17,20.720928077213717,5.393613536752477,15.32731454046124
2014-2019,18,24.378863607912628,8.702042389316567,15.67682121859606
2014-2019,19,16.88791393960566,4.22827464266852,12.65963929693714
2014-2019,20,29.513542088000545,7.772141685604497,21.741400402396046
2014-2019,21,24.47960174069389,5.8830480532277365,18.596553687466155
2014-2019,22,35.25594446097462,9.991445758338099,25.26449870263652
2014-2019,23,9.286349896645211,8.306025570359346,0.9803243262858654
2014-2019,24,19.358868621772128,4.354454510052199,15.004414111719928
2014-2019,25,6.418403214928305,2.1647168297235018,4.253686385204803
2014-2019,26,12.680290215010531,5.751270719729249,6.929019495281282
2014-2019,27,14.103949079893141,3.971448626453579,10.132500453439562
2014-2019,28,38.971238853430094,12.865932104508405,26.10530674892169
2014-2019,29,20.872732193144397,9.59199196107747,11.280740232066927
2014-2019,30,13.22367171636013,9.853266002854761,3.3704057135053684
2014-2019,31,27.38338530383731,7.079456832664537,20.303928471172775
2014-2019,32,25.603724761175627,9.026201999329814,16.577522761845813
2014-2019,33,12.66976863774535,6.265790898200288,6.403977739545061
2014-2019,34,20.466773425553786,4.95139337244075,15.515380053113036
2014-2019,35,31.37021826589363,8.64283773784544,22.72738052804819
2014-2019,36,13.70960568859191,4.25811848018816,9.451487208403751
2014-2019,37,34.69254546886007,9.297797057975227,25.39474841088484
2014-2019,38,19.745997198328258,7.303737468261565,12.442259730066693
2014-2019,39,15.898014386787981,6.421437886357914,9.476576500430067
2014-2019,40,35.16203934757314,13.374645911069155,21.787393436503987
2014-2019,41,19.081784842787343,6.258324477679854,12.82346036510749
2014-2019,42,15.607915304251504,5.899614920360712,9.708300383890792
2014-2019,44,12.62151181065695,3.520267247628899,9.10124456302805
2014-2019,45,33.66567892157358,10.215741615936885,23.449937305636695
2014-2019,46,19.117837060505458,9.468594573226035,9.649242487279423
2014-2019,47,35.59825615688748,9.12691706832197,26.47133908856551
2014-2019,48,37.89463349342186,14.139484656134124,23.755148837287734
2014-2019,49,30.840381372421845,8.145347067763584,22.69503430465826
2014-2019,50,7.7323211022072265,3.9806002644855383,3.751720837721688
2014-2019,51,21.906659378176727,7.42128384232264,14.485375535854086
2014-2019,53,17.101885696163933,5.127984792840669,11.973900903323264
2014-2019,54,13.986218441147468,6.6528210880423115,7.333397353105156
2014-2019,55,20.459366744440548,5.247323599950153,15.212043144490394
2014-2019,56,31.1013126380555,10.947389621717697,20.153923016337803
2020-2024,1,30.677216706823256,8.543114924931887,22.134101781891367
2020-2024,2,13.984059134535407,10.530301698185397,3.45375743635001
2020-2024,4,23.769995228375922,8.88150022346889,14.888495004907032
2020-2024,5,33.39854238101464,8.252645046838039,25.145897334176603
2020-2024,6,11.899131247960474,4.741089703178454,7.15804154478202
2020-2024,8,23.446193270808553,6.082767166569656,17.363426104238897
2020-2024,9,16.48198983038794,3.067289992491236,13.414699837896702
2020-2024,10,18.60152623346693,5.063574117001363,13.537952116465569
2020-2024,11,8.344409335607049,2.83577351778395,5.508635817823098
2020-2024,12,18.583810924172912,9.801414348326958,8.782396575845954
2020-2024,13,25.910473348551903,11.040276219637303,14.8701971289146
2020-2024,15,4.975857550431203,3.040958726042736,1.9348988243884673
2020-2024,16,24.742698021320184,7.849448850245647,16.893249171074537
2020-2024,17,17.890266089957272,4.879214188759965,13.011051901197307
2020-2024,18,18.734120244728548,6.514207731381734,12.219912513346813
2020-2024,19,18.49388741367846,4.259455207238083,14.234432206440378
2020-2024,20,27.04060644403528,7.419146695325732,19.621459748709547
2020-2024,21,22.532677205093492,5.379163379242292,17.1535138258512
2020-2024,22,35.33061799360385,6.749344057612909,28.581273935990943
2020-2024,23,8.507488429585765,6.119949431455426,2.3875389981303385
2020-2024,24,18.20047388515226,3.8886673856444114,14.311806499507849
2020-2024,25,5.305998340062752,1.9791724228588436,3.3268259172039083
2020-2024,26,9.580463630495293,4.7170141846128395,4.863449445882454
2020-2024,27,12.682947801484584,3.909628636113596,8.773319165370989
2020-2024,28,35.34472932807664,11.031968286436204,24.312761041640435
2020-2024,29,18.78890277400825,8.33480519194734,10.45409758206091
2020-2024,30,12.737806048767458,8.226127176624114,4.511678872143344
2020-2024,31,25.378912375011204,5.701611937684728,19.677300437326476
2020-2024,32,22.49580361200821,8.822198521591822,13.673605090416387
2020-2024,33,11.406039756412213,4.63161495625243,6.774424800159783
2020-2024,34,18.296118272335573,3.7766131956150444,14.519505076720527
2020-2024,35,27.823929521559503,7.532441461677763,20.29148805988174
2020-2024,36,9.83206313537857,3.5960733249006402,6.23598981047793
2020-2024,37,29.488604697600536,7.827106767358889,21.661497930241648
2020-2024,38,13.245406574942026,5.834224873858237,7.411181701083788
2020-2024,39,16.753635978441867,5.99354187909337,10.760094099348496
2020-2024,40,33.737778272411546,11.744631410834783,21.99314686157676
2020-2024,41,15.287417053352211,5.039016492913049,10.248400560439162
2020-2024,42,14.56556126286397,5.174532530724596,9.391028732139374
2020-2024,44,11.493788220780802,2.9067810010446795,8.587007219736122
2020-2024,45,29.119612697007298,8.50677208874287,20.612840608264428
2020-2024,46,16.593889043176137,8.592082658882784,8.001806384293353
2020-2024,47,33.57515488270964,8.637498538746968,24.937656343962672
2020-2024,48,33.58308683685937,14.043926069537182,19.53916076732219
2020-2024,49,26.857549705708315,6.772585823092961,20.084963882615355
2020-2024,50,6.301503666304392,3.7031114299863956,2.5983922363179968
2020-2024,51,18.24071072324832,5.135697746197717,13.105012977050603
2020-2024,53,14.837427847530199,4.785405757986656,10.052022089543543
2020-2024,54,12.292776422561856,6.545138442956875,5.74763797960498
2020-2024,55,18.05100188086957,4.812066970092154,13.238934910777417
2020-2024,56,28.369775246618527,10.613291785573892,17.756483461044635
