period,STATEFIP,weighted_denominator,weighted_numerator,limited_english_rate_pct
2008-2013,1,92226800,44765800.0,48.538819518838345
2008-2013,2,27610700,11783600.0,42.677657574780795
2008-2013,4,533524100,280545700.0,52.583510285664694
2008-2013,5,73692400,39571800.0,53.69861749651253
2008-2013,6,6048013800,3494673300.0,57.782164782758926
2008-2013,8,297218600,150288200.0,50.56487043543035
2008-2013,9,283650300,116212400.0,40.970307452521645
2008-2013,10,44329100,16319000.0,36.81328969006815
2008-2013,11,49669000,14276000.0,28.74227385290624
2008-2013,12,2171337000,1043604500.0,48.06276040983044
2008-2013,13,559159600,264491200.0,47.30155755172584
2008-2013,15,141488100,73610500.0,52.025930095887915
2008-2013,16,55315000,27830600.0,50.312935008587175
2008-2013,17,1059559200,571042900.0,53.894383626700616
2008-2013,18,172860100,83466500.0,48.28557891612928
2008-2013,19,78047200,37836200.0,48.478612941912075
2008-2013,20,110587000,58082300.0,52.521815403257165
2008-2013,21,80637700,36558900.0,45.33723060057517
2008-2013,22,95932800,46229600.0,48.18956602955402
2008-2013,23,26227500,7028600.0,26.798589266990753
2008-2013,24,467380100,176715700.0,37.80984684628208
2008-2013,25,585989400,260382700.0,44.43471161765042
2008-2013,26,355443200,141142000.0,39.708735460405485
2008-2013,27,225834800,96954900.0,42.931780221648744
2008-2013,28,36470300,17160000.0,47.05198476568605
2008-2013,29,134872000,57768100.0,42.83179607331395
2008-2013,30,11438300,2088900.0,18.262329192275075
2008-2013,31,66009400,37252500.0,56.435144085539335
2008-2013,32,307286600,161668200.0,52.611535940714624
2008-2013,33,42017700,13395000.0,31.879422243483102
2008-2013,34,1092270400,509696800.0,46.66397624617494
2008-2013,35,121172700,68121400.0,56.218438641707245
2008-2013,36,2570903800,1206977100.0,46.947579290987086
2008-2013,37,420535900,210571300.0,50.07213415073481
2008-2013,38,10153400,2892300.0,28.48602438591999
2008-2013,39,266492000,100277700.0,37.62878435375171
2008-2013,40,121766300,64351600.0,52.8484482159678
2008-2013,41,224126300,111836900.0,49.89905245390657
2008-2013,42,435969500,180688600.0,41.4452387150936
2008-2013,44,81426300,41424000.0,50.87299803626101
2008-2013,45,127617300,59452600.0,46.58663049602209
2008-2013,46,12204100,5735800.0,46.99895936611467
2008-2013,47,167644600,80035500.0,47.74117388809422
2008-2013,48,2464677300,1475450500.0,59.863840998576165
2008-2013,49,136695200,66110800.0,48.36365870930362
2008-2013,50,14967800,3799400.0,25.383823942062296
2008-2013,51,526353000,213502700.0,40.56264522098288
2008-2013,53,524089700,243915600.0,46.54081162060616
2008-2013,54,14387200,3639500.0,25.29679159252669
2008-2013,55,155856200,70733500.0,45.38382175364214
2008-2013,56,9698300,3471400.0,35.79390202406607
2014-2019,1,97754200,43560300.0,44.56105210824701
2014-2019,2,33896600,13628100.0,40.20491730734056
2014-2019,4,559414800,264524500.0,47.28593165572309
2014-2019,5,85619600,44132700.0,51.5450901429112
2014-2019,6,6327655000,3429624000.0,54.20055296946499
2014-2019,8,323279900,147307300.0,45.56648897750834
2014-2019,9,308064800,121520400.0,39.446376216951755
2014-2019,10,53534400,19438600.0,36.31048447353478
2014-2019,11,56078000,17930200.0,31.973679517814475
2014-2019,12,2552027500,1178310600.0,46.1715479163136
2014-2019,13,621708200,270831000.0,43.562397922369364
2014-2019,15,152086400,77485000.0,50.948013760599245
2014-2019,16,58523900,27418000.0,46.849235953174684
2014-2019,17,1069999600,527382700.0,49.288121229204194
2014-2019,18,203545000,89246300.0,43.84598000442163
2014-2019,19,96627300,47555800.0,49.21569784108632
2014-2019,20,123883100,63145700.0,50.97200505960862
2014-2019,21,99478800,44879700.0,45.114838538462465
2014-2019,22,112132600,55053900.0,49.097140349907164
2014-2019,23,28546600,7451900.0,26.104334666825473
2014-2019,24,542998600,203602200.0,37.49589777947862
2014-2019,25,676589700,289084200.0,42.72666285046905
2014-2019,26,400563600,155300100.0,38.77039750990854
2014-2019,27,275723200,117059000.0,42.455259477621034
2014-2019,28,38829000,16418600.0,42.284375080481084
2014-2019,29,148014500,55465800.0,37.47322052906979
2014-2019,30,13650400,2964100.0,21.714381996131983
2014-2019,31,80601300,45781000.0,56.799332020699424
2014-2019,32,347793300,170231600.0,48.946198791063544
2014-2019,33,47891300,14753600.0,30.806430395499806
2014-2019,34,1201486200,529731500.0,44.08968658982516
2014-2019,35,118661500,62902200.0,53.009779920193154
2014-2019,36,2671187400,1231184200.0,46.09127012204385
2014-2019,37,480831900,218233900.0,45.386734948326016
2014-2019,38,17170400,5316600.0,30.96375157247356
2014-2019,39,308236400,112718200.0,36.56875047852882
2014-2019,40,136231700,66934500.0,49.13283765819556
2014-2019,41,241247800,110176700.0,45.669514913711126
2014-2019,42,515545600,212601900.0,41.23823382451523
2014-2019,44,85104700,39254600.0,46.12506712320236
2014-2019,45,147024100,62719000.0,42.65899264134247
2014-2019,46,17613400,7177600.0,40.750792010628274
2014-2019,47,203152400,92925500.0,45.74176824886145
2014-2019,48,2835317100,1593453000.0,56.20016893348543
2014-2019,49,153200100,67071300.0,43.78019335496518
2014-2019,50,16153400,3768500.0,23.32945386110664
2014-2019,51,620356000,244233300.0,39.369861821276814
2014-2019,53,618460800,266094900.0,43.025346149667044
2014-2019,54,17235700,4226900.0,24.524098237959585
2014-2019,55,172605100,70654400.0,40.93413230547649
2014-2019,56,11772100,4835500.0,41.07593377562202
2020-2024,1,94100000,40872700.0,43.43538788522848
2020-2024,2,27534200,9112600.0,33.09556842036449
2020-2024,4,477895700,209516300.0,43.841428160998305
2020-2024,5,78027000,36464500.0,46.733182103630796
2020-2024,6,5240340700,2723717200.0,51.97595644878585
2020-2024,8,281971900,117571700.0,41.69624703738209
2020-2024,9,279291300,106930400.0,38.286334017565174
2020-2024,10,51386100,18963800.0,36.904532548685346
2020-2024,11,47554900,14463000.0,30.413269715633927
2020-2024,12,2409917700,1098511200.0,45.58293422219356
2020-2024,13,591908400,238652900.0,40.31922844818556
2020-2024,15,125518800,61217300.0,48.771419102158404
2020-2024,16,56786800,26444900.0,46.56874484915509
2020-2024,17,910327100,429826100.0,47.21666530634977
2020-2024,18,206042100,88514500.0,42.95942431182753
2020-2024,19,90999600,43834300.0,48.16977217482275
2020-2024,20,104894500,50531700.0,48.17383180243006
2020-2024,21,94942700,45791400.0,48.23056432985369
2020-2024,22,101919600,50553000.0,49.60086185581576
2020-2024,23,27660600,6878300.0,24.866778016384316
2020-2024,24,500341200,192622600.0,38.49824879502228
2020-2024,25,622837200,268076200.0,43.041134986799115
2020-2024,26,356375400,137019000.0,38.44794000932724
2020-2024,27,240349200,96025800.0,39.95261893944311
2020-2024,28,33777600,15507000.0,45.90912320591161
2020-2024,29,132715200,49511300.0,37.306427598345934
2020-2024,30,11898900,2105900.0,17.698274630428024
2020-2024,31,76308700,39123300.0,51.26977657855526
2020-2024,32,302008900,145112700.0,48.04914689600207
2020-2024,33,42918200,11671300.0,27.194290534085773
2020-2024,34,1086697500,474412100.0,43.656316500222005
2020-2024,35,98181100,48603100.0,49.50351951648535
2020-2024,36,2223138300,1005119800.0,45.211753132947244
2020-2024,37,464702400,201883100.0,43.44352428565034
2020-2024,38,17115500,5129200.0,29.968157518039206
2020-2024,39,293462000,107942700.0,36.78251357927091
2020-2024,40,121180300,60181600.0,49.66285774172865
2020-2024,41,205491800,88835400.0,43.23063012733355
2020-2024,42,490026500,208319300.0,42.51184374722591
2020-2024,44,80763800,37509000.0,46.44283701361254
2020-2024,45,146491900,57514500.0,39.26121512520487
2020-2024,46,16787200,6004600.0,35.76891917651544
2020-2024,47,195619800,89490900.0,45.74736299699724
2020-2024,48,2598507100,1347834200.0,51.869560025446916
2020-2024,49,144890200,62406900.0,43.07185717184461
2020-2024,50,14503900,3237300.0,22.32020353146395
2020-2024,51,549466500,209891200.0,38.199089480432384
2020-2024,53,591368900,243644100.0,41.20001914202793
2020-2024,54,15950400,3862200.0,24.2138128197412
2020-2024,55,152260300,61729700.0,40.54221619161397
2020-2024,56,9796800,3710300.0,37.872570635309486
